Vt	w[0]=提到	w[1]=管理	pos[0]=Vt	pos[1]=N	__BOS__
N	w[-1]=「	w[0]=人	w[1]=」	pos[-1]=PARENTHESISCATEGORY	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=人	w[0]=」	w[1]=；	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=SEMICOLONCATEGORY
SEMICOLONCATEGORY	w[-1]=」	w[0]=；	w[1]=高階	pos[-1]=PARENTHESISCATEGORY	pos[0]=SEMICOLONCATEGORY	pos[1]=A
A	w[-1]=；	w[0]=高階	w[1]=主管	pos[-1]=SEMICOLONCATEGORY	pos[0]=A	pos[1]=N
N	w[-1]=高階	w[0]=主管	w[1]=必須	pos[-1]=A	pos[0]=N	pos[1]=ADV
ADV	w[-1]=主管	w[0]=必須	w[1]=決定	pos[-1]=N	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=必須	w[0]=決定	w[1]=哪些	pos[-1]=ADV	pos[0]=Vt	pos[1]=DET
DET	w[-1]=決定	w[0]=哪些	w[1]=人	pos[-1]=Vt	pos[0]=DET	pos[1]=N
N	w[-1]=哪些	w[0]=人	w[1]=適合	pos[-1]=DET	pos[0]=N	pos[1]=Vi
Vi	w[-1]=人	w[0]=適合	w[1]=在	pos[-1]=N	pos[0]=Vi	pos[1]=P
P	w[-1]=適合	w[0]=在	w[1]=第	pos[-1]=Vi	pos[0]=P	pos[1]=DET
DET	w[-1]=在	w[0]=第	w[1]=一線	pos[-1]=P	pos[0]=DET	pos[1]=A
A	w[-1]=第	w[0]=一線	w[1]=服務	pos[-1]=DET	pos[0]=A	pos[1]=Nv
Nv	w[-1]=一線	w[0]=服務	w[1]=，	pos[-1]=A	pos[0]=Nv	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=服務	w[0]=，	w[1]=哪些	pos[-1]=Nv	pos[0]=COMMACATEGORY	pos[1]=DET
DET	w[-1]=，	w[0]=哪些	w[1]=人	pos[-1]=COMMACATEGORY	pos[0]=DET	pos[1]=N
N	w[-1]=哪些	w[0]=人	w[1]=適合	pos[-1]=DET	pos[0]=N	pos[1]=Vi
Vi	w[-1]=人	w[0]=適合	w[1]=打理	pos[-1]=N	pos[0]=Vi	pos[1]=Vt
Vt	w[-1]=適合	w[0]=打理	w[1]=財務	pos[-1]=Vi	pos[0]=Vt	pos[1]=N
N	w[-1]=打理	w[0]=財務	w[1]=，	pos[-1]=Vt	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=財務	w[0]=，	w[1]=還是	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=還是	w[1]=必須	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=還是	w[0]=必須	w[1]=洞察	pos[-1]=ADV	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=必須	w[0]=洞察	w[1]=「	pos[-1]=ADV	pos[0]=Vt	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=洞察	w[0]=「	w[1]=人	pos[-1]=Vt	pos[0]=PARENTHESISCATEGORY	pos[1]=N
N	w[-1]=「	w[0]=人	w[1]=」	pos[-1]=PARENTHESISCATEGORY	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=人	w[0]=」	w[1]=。	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=」	w[0]=。	w[1]=可以	pos[-1]=PARENTHESISCATEGORY	pos[0]=PERIODCATEGORY	pos[1]=ADV	__EOS__
ADV	w[-1]=。	w[0]=可以	w[1]=說	pos[-1]=PERIODCATEGORY	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=可以	w[0]=說	w[1]=，	pos[-1]=ADV	pos[0]=Vt	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=說	w[0]=，	w[1]=掌握	pos[-1]=Vt	pos[0]=COMMACATEGORY	pos[1]=Vt
Vt	w[-1]=，	w[0]=掌握	w[1]=人性	pos[-1]=COMMACATEGORY	pos[0]=Vt	pos[1]=N
N	w[-1]=掌握	w[0]=人性	w[1]=是	pos[-1]=Vt	pos[0]=N	pos[1]=Vt
Vt	w[-1]=人性	w[0]=是	w[1]=管理	pos[-1]=N	pos[0]=Vt	pos[1]=Vt
Vt	w[-1]=是	w[0]=管理	w[1]=者	pos[-1]=Vt	pos[0]=Vt	pos[1]=N
N	w[-1]=管理	w[0]=者	w[1]=最	pos[-1]=Vt	pos[0]=N	pos[1]=ADV
ADV	w[-1]=者	w[0]=最	w[1]=重要	pos[-1]=N	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=最	w[0]=重要	w[1]=的	pos[-1]=ADV	pos[0]=Vi	pos[1]=T
T	w[-1]=重要	w[0]=的	w[1]=任務	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=任務	w[1]=，	pos[-1]=T	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=任務	w[0]=，	w[1]=也	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=也	w[1]=是	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=也	w[0]=是	w[1]=最	pos[-1]=ADV	pos[0]=Vt	pos[1]=ADV
ADV	w[-1]=是	w[0]=最	w[1]=大	pos[-1]=Vt	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=最	w[0]=大	w[1]=的	pos[-1]=ADV	pos[0]=Vi	pos[1]=T
T	w[-1]=大	w[0]=的	w[1]=挑戰	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=挑戰	w[1]=。	pos[-1]=T	pos[0]=N	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=挑戰	w[0]=。pos[-1]=N	pos[0]=PERIODCATEGORY	__EOS__
