O-N	w[0]=我	w[1]=在	pos[0]=N	pos[1]=P	bio[0]=O	bio[1]=O	__BOS__
O-P	w[-1]=我	w[0]=在	w[1]=玩	pos[-1]=N	pos[0]=P	pos[1]=Vt	bio[-1]=O	bio[0]=O	bio[1]=O
O-N	w[-1]=了	w[0]=藥局	w[1]=包	pos[-1]=ASP	pos[0]=N	pos[1]=Vt	bio[-1]=O	bio[0]=O	bio[1]=O
O-Vt	w[-1]=藥局	w[0]=包	w[1]=?	pos[-1]=N	pos[0]=Vt	pos[1]=QUESTIONCATEGORY	bio[-1]=O	bio[0]=O	bio[1]=O
O-QUESTIONCATEGORY	w[-1]=包	w[0]=?	w[1]=指甲	pos[-1]=Vt	pos[0]=QUESTIONCATEGORY	pos[1]=N	bio[-1]=O	bio[0]=O	bio[1]=O
O-N	w[-1]=?	w[0]=指甲	w[1]=會長	pos[-1]=QUESTIONCATEGORY	pos[0]=N	pos[1]=N	bio[-1]=O	bio[0]=O	bio[1]=O
O-N	w[-1]=指甲	w[0]=會長	w[1]=出來	pos[-1]=N	pos[0]=N	pos[1]=Vi	bio[-1]=O	bio[0]=O	bio[1]=O
O-Vi	w[-1]=會長	w[0]=出來	w[1]=嗎	pos[-1]=N	pos[0]=Vi	pos[1]=T	bio[-1]=O	bio[0]=O	bio[1]=O
O-T	w[-1]=出來	w[0]=嗎	w[1]=？	pos[-1]=Vi	pos[0]=T	pos[1]=QUESTIONCATEGORY	bio[-1]=O	bio[0]=O	bio[1]=O
O-QUESTIONCATEGORY	w[-1]=嗎	w[0]=？	w[1]=如果	pos[-1]=T	pos[0]=QUESTIONCATEGORY	pos[1]=C	bio[-1]=O	bio[0]=O	bio[1]=O
O-C	w[-1]=？	w[0]=如果	w[1]=會	pos[-1]=QUESTIONCATEGORY	pos[0]=C	pos[1]=ADV	bio[-1]=O	bio[0]=O	bio[1]=O
O-ADV	w[-1]=如果	w[0]=會	w[1]=要	pos[-1]=C	pos[0]=ADV	pos[1]=ADV	bio[-1]=O	bio[0]=O	bio[1]=O
O-ADV	w[-1]=會	w[0]=要	w[1]=多久	pos[-1]=ADV	pos[0]=ADV	pos[1]=N	bio[-1]=O	bio[0]=O	bio[1]=O
O-N	w[-1]=要	w[0]=多久	w[1]=?	pos[-1]=ADV	pos[0]=N	pos[1]=QUESTIONCATEGORY	bio[-1]=O	bio[0]=O	bio[1]=O
O-QUESTIONCATEGORY	w[-1]=多久	w[0]=?	w[1]=有	pos[-1]=N	pos[0]=QUESTIONCATEGORY	pos[1]=Vt	bio[-1]=O	bio[0]=O	bio[1]=O
O-Vt	w[-1]=?	w[0]=有	w[1]=什麼	pos[-1]=QUESTIONCATEGORY	pos[0]=Vt	pos[1]=DET	bio[-1]=O	bio[0]=O	bio[1]=O
O-DET	w[-1]=有	w[0]=什麼	w[1]=要	pos[-1]=Vt	pos[0]=DET	pos[1]=ADV	bio[-1]=O	bio[0]=O	bio[1]=O
O-ADV	w[-1]=什麼	w[0]=要	w[1]=特別	pos[-1]=DET	pos[0]=ADV	pos[1]=Vi	bio[-1]=O	bio[0]=O	bio[1]=O
O-Vi	w[-1]=要	w[0]=特別	w[1]=注意	pos[-1]=ADV	pos[0]=Vi	pos[1]=Vt	bio[-1]=O	bio[0]=O	bio[1]=O
O-Vt	w[-1]=特別	w[0]=注意	w[1]=的	pos[-1]=Vi	pos[0]=Vt	pos[1]=T	bio[-1]=O	bio[0]=O	bio[1]=O
O-T	w[-1]=注意	w[0]=的	w[1]=嗎	pos[-1]=Vt	pos[0]=T	pos[1]=T	bio[-1]=O	bio[0]=O	bio[1]=O
O-T	w[-1]=的	w[0]=嗎	w[1]=？	pos[-1]=T	pos[0]=T	pos[1]=QUESTIONCATEGORY	bio[-1]=O	bio[0]=O	bio[1]=O
O-QUESTIONCATEGORY	w[-1]=嗎	w[0]=？	w[1]=謝謝	pos[-1]=T	pos[0]=QUESTIONCATEGORY	pos[1]=Vt	bio[-1]=O	bio[0]=O	bio[1]=O
O-Vt	w[-1]=？	w[0]=謝謝	pos[-1]=QUESTIONCATEGORY	pos[0]=Vt	bio[-1]=O	bio[0]=O	__EOS__
